# Premier League 2016-17 Top 9  [2017-05-18]

Pos|Club                 |Played |Won    |Drawn  |Lost   |GF     |GA     |GD     |Points 
---|---------------------|-------|-------|-------|-------|-------|-------|-------|-------
1  |Chelsea FC           |16     |11     |1      |4      |32     |16     |16     |34     
2  |Liverpool FC         |16     |9      |7      |0      |23     |11     |12     |34     
3  |Tottenham Hotspur    |16     |8      |5      |3      |28     |16     |12     |29     
4  |Manchester City      |16     |5      |6      |5      |23     |22     |1      |21     
5  |Manchester United    |16     |4      |8      |4      |13     |14     |-1     |20     
6  |Everton FC           |15     |5      |4      |6      |21     |22     |-1     |19     
7  |Arsenal FC           |15     |5      |3      |7      |22     |24     |-2     |18     
8  |Southampton FC       |16     |2      |4      |10     |9      |27     |-18    |10     
9  |West Bromwich Albion |16     |2      |2      |12     |9      |28     |-19    |8      
